id,z,x,code,key,pos
493,25,9,1,wall,259
494,26,9,11,center_pane,269
495,27,9,11,center_pane,279
496,28,9,11,center_pane,289
497,29,9,11,center_pane,299
498,30,9,11,center_pane,309
499,31,9,11,center_pane,319
500,32,9,11,center_pane,329
501,33,9,11,center_pane,339
502,34,9,11,center_pane,349
503,35,9,11,center_pane,359
504,36,9,1,wall,369
505,37,9,11,center_pane,379
506,38,9,11,center_pane,389
507,39,9,11,center_pane,399
508,40,9,11,center_pane,409
509,41,9,1,wall,419
510,42,9,1,wall,429
511,43,9,11,center_pane,439
512,44,9,11,center_pane,449
513,45,9,11,center_pane,459
514,46,9,5,red,469
515,47,9,11,center_pane,479
516,48,9,11,center_pane,489
517,49,9,11,center_pane,499
518,50,9,1,wall,509
519,51,9,1,wall,519
520,0,10,1,wall,010
521,1,10,1,wall,110
522,2,10,11,center_pane,210
523,3,10,11,center_pane,310
524,4,10,11,center_pane,410
525,5,10,11,center_pane,510
526,6,10,11,center_pane,610
527,7,10,1,wall,710
528,8,10,11,center_pane,810
529,9,10,11,center_pane,910
530,10,10,11,center_pane,1010
531,11,10,11,center_pane,1110
532,12,10,11,center_pane,1210
533,13,10,11,center_pane,1310
534,14,10,11,center_pane,1410
535,15,10,11,center_pane,1510
536,16,10,11,center_pane,1610
537,17,10,11,center_pane,1710
538,18,10,11,center_pane,1810
539,19,10,11,center_pane,1910
540,20,10,11,center_pane,2010
541,21,10,11,center_pane,2110
542,22,10,11,center_pane,2210
543,23,10,11,center_pane,2310
544,24,10,1,wall,2410
545,25,10,11,center_pane,2510
546,26,10,11,center_pane,2610
547,27,10,11,center_pane,2710
548,28,10,11,center_pane,2810
549,29,10,11,center_pane,2910
550,30,10,11,center_pane,3010
551,31,10,11,center_pane,3110
552,32,10,11,center_pane,3210
553,33,10,11,center_pane,3310
554,34,10,11,center_pane,3410
555,35,10,11,center_pane,3510
556,36,10,1,wall,3610
557,37,10,11,center_pane,3710
558,38,10,11,center_pane,3810
559,39,10,11,center_pane,3910
560,40,10,11,center_pane,4010
561,41,10,1,wall,4110
562,42,10,11,center_pane,4210
563,43,10,11,center_pane,4310
564,44,10,,,4410
565,45,10,9,rubble,4510
566,46,10,9,rubble,4610
567,47,10,11,center_pane,4710
568,48,10,11,center_pane,4810
569,49,10,11,center_pane,4910
570,50,10,1,wall,5010
571,51,10,1,wall,5110
572,0,11,1,wall,011
573,1,11,1,wall,111
574,2,11,11,center_pane,211
575,3,11,11,center_pane,311
576,4,11,11,center_pane,411
577,5,11,11,center_pane,511
578,6,11,11,center_pane,611
579,7,11,1,wall,711
580,8,11,11,center_pane,811
581,9,11,11,center_pane,911
582,10,11,11,center_pane,1011
583,11,11,11,center_pane,1111
584,12,11,11,center_pane,1211
585,13,11,11,center_pane,1311
586,14,11,11,center_pane,1411
587,15,11,11,center_pane,1511
588,16,11,11,center_pane,1611
589,17,11,11,center_pane,1711
590,18,11,11,center_pane,1811
591,19,11,11,center_pane,1911
592,20,11,11,center_pane,2011
593,21,11,11,center_pane,2111
594,22,11,11,center_pane,2211
595,23,11,1,wall,2311
596,24,11,11,center_pane,2411
597,25,11,11,center_pane,2511
598,26,11,11,center_pane,2611
599,27,11,11,center_pane,2711
600,28,11,11,center_pane,2811
601,29,11,11,center_pane,2911
602,30,11,11,center_pane,3011
603,31,11,11,center_pane,3111
604,32,11,11,center_pane,3211
605,33,11,11,center_pane,3311
606,34,11,11,center_pane,3411
607,35,11,11,center_pane,3511
608,36,11,1,wall,3611
609,37,11,11,center_pane,3711
610,38,11,11,center_pane,3811
611,39,11,11,center_pane,3911
612,40,11,11,center_pane,4011
613,41,11,1,wall,4111
614,42,11,11,center_pane,4211
615,43,11,11,center_pane,4311
616,44,11,9,rubble,4411
617,45,11,6,yellow,4511
618,46,11,9,rubble,4611
619,47,11,11,center_pane,4711
620,48,11,11,center_pane,4811
621,49,11,11,center_pane,4911
622,50,11,1,wall,5011
623,51,11,1,wall,5111
624,0,12,1,wall,012
625,1,12,1,wall,112
626,2,12,11,center_pane,212
627,3,12,11,center_pane,312
628,4,12,8,agent,412
629,5,12,11,center_pane,512
630,6,12,11,center_pane,612
631,7,12,1,wall,712
632,8,12,11,center_pane,812
633,9,12,11,center_pane,912
634,10,12,11,center_pane,1012
635,11,12,11,center_pane,1112
636,12,12,11,center_pane,1212
637,13,12,11,center_pane,1312
638,14,12,11,center_pane,1412
639,15,12,11,center_pane,1512
640,16,12,11,center_pane,1612
641,17,12,11,center_pane,1712
642,18,12,11,center_pane,1812
643,19,12,11,center_pane,1912
644,20,12,11,center_pane,2012
645,21,12,11,center_pane,2112
646,22,12,11,center_pane,2212
647,23,12,1,wall,2312
648,24,12,11,center_pane,2412
649,25,12,11,center_pane,2512
650,26,12,11,center_pane,2612
651,27,12,11,center_pane,2712
652,28,12,11,center_pane,2812
653,29,12,11,center_pane,2912
654,30,12,11,center_pane,3012
655,31,12,11,center_pane,3112
656,32,12,11,center_pane,3212
657,33,12,11,center_pane,3312
658,34,12,11,center_pane,3412
659,35,12,11,center_pane,3512
660,36,12,1,wall,3612
661,37,12,11,center_pane,3712
662,38,12,11,center_pane,3812
663,39,12,11,center_pane,3912
664,40,12,11,center_pane,4012
665,41,12,1,wall,4112
666,42,12,11,center_pane,4212
667,43,12,11,center_pane,4312
668,44,12,11,center_pane,4412
669,45,12,9,rubble,4512
670,46,12,11,center_pane,4612
671,47,12,11,center_pane,4712
672,48,12,11,center_pane,4812
673,49,12,11,center_pane,4912
674,50,12,1,wall,5012
675,51,12,1,wall,5112
676,0,13,1,wall,013
677,1,13,1,wall,113
678,2,13,11,center_pane,213
679,3,13,11,center_pane,313
680,4,13,11,center_pane,413
681,5,13,11,center_pane,513
682,6,13,11,center_pane,613
683,7,13,1,wall,713
684,8,13,11,center_pane,813
685,9,13,11,center_pane,913
686,10,13,11,center_pane,1013
687,11,13,11,center_pane,1113
688,12,13,11,center_pane,1213
689,13,13,11,center_pane,1313
690,14,13,11,center_pane,1413
691,15,13,11,center_pane,1513
692,16,13,11,center_pane,1613
693,17,13,11,center_pane,1713
694,18,13,11,center_pane,1813
695,19,13,11,center_pane,1913
696,20,13,11,center_pane,2013
697,21,13,11,center_pane,2113
698,22,13,11,center_pane,2213
699,23,13,1,wall,2313
700,24,13,11,center_pane,2413
701,25,13,11,center_pane,2513
702,26,13,11,center_pane,2613
703,27,13,11,center_pane,2713
704,28,13,11,center_pane,2813
705,29,13,11,center_pane,2913
706,30,13,11,center_pane,3013
707,31,13,11,center_pane,3113
708,32,13,11,center_pane,3213
709,33,13,11,center_pane,3313
710,34,13,11,center_pane,3413
711,35,13,11,center_pane,3513
712,36,13,1,wall,3613
713,37,13,11,center_pane,3713
714,38,13,11,center_pane,3813
715,39,13,11,center_pane,3913
716,40,13,11,center_pane,4013
717,41,13,1,wall,4113
718,42,13,1,wall,4213
719,43,13,1,wall,4313
720,44,13,1,wall,4413
721,45,13,1,wall,4513
722,46,13,1,wall,4613
723,47,13,1,wall,4713
724,48,13,1,wall,4813
725,49,13,1,wall,4913
726,50,13,1,wall,5013
727,51,13,1,wall,5113
728,0,14,1,wall,014
729,1,14,1,wall,114
730,2,14,11,center_pane,214
731,3,14,11,center_pane,314
732,4,14,11,center_pane,414
733,5,14,11,center_pane,514
734,6,14,11,center_pane,614
735,7,14,1,wall,714
736,8,14,11,center_pane,814
737,9,14,11,center_pane,914
738,10,14,11,center_pane,1014
739,11,14,11,center_pane,1114
740,12,14,11,center_pane,1214
741,13,14,11,center_pane,1314
742,14,14,11,center_pane,1414
743,15,14,11,center_pane,1514
744,16,14,11,center_pane,1614
745,17,14,11,center_pane,1714
746,18,14,11,center_pane,1814
747,19,14,11,center_pane,1914
748,20,14,11,center_pane,2014
749,21,14,11,center_pane,2114
750,22,14,11,center_pane,2214
751,23,14,11,center_pane,2314
752,24,14,11,center_pane,2414
753,25,14,11,center_pane,2514
754,26,14,11,center_pane,2614
755,27,14,11,center_pane,2714
756,28,14,11,center_pane,2814
757,29,14,11,center_pane,2914
758,30,14,11,center_pane,3014
759,31,14,11,center_pane,3114
760,32,14,11,center_pane,3214
761,33,14,11,center_pane,3314
762,34,14,11,center_pane,3414
763,35,14,11,center_pane,3514
764,36,14,1,wall,3614
765,37,14,11,center_pane,3714
766,38,14,11,center_pane,3814
767,39,14,11,center_pane,3914
768,40,14,11,center_pane,4014
769,41,14,2,door,4114
770,42,14,11,center_pane,4214
771,43,14,11,center_pane,4314
772,44,14,11,center_pane,4414
773,45,14,11,center_pane,4514
774,46,14,11,center_pane,4614
775,47,14,11,center_pane,4714
776,48,14,11,center_pane,4814
777,49,14,11,center_pane,4914
778,50,14,1,wall,5014
779,51,14,1,wall,5114
780,0,15,1,wall,015
781,1,15,1,wall,115
782,2,15,11,center_pane,215
783,3,15,11,center_pane,315
784,4,15,11,center_pane,415
785,5,15,11,center_pane,515
786,6,15,11,center_pane,615
787,7,15,1,wall,715
788,8,15,11,center_pane,815
789,9,15,11,center_pane,915
790,10,15,11,center_pane,1015
791,11,15,11,center_pane,1115
792,12,15,11,center_pane,1215
793,13,15,11,center_pane,1315
794,14,15,11,center_pane,1415
795,15,15,11,center_pane,1515
796,16,15,11,center_pane,1615
797,17,15,11,center_pane,1715
798,18,15,11,center_pane,1815
799,19,15,11,center_pane,1915
800,20,15,11,center_pane,2015
801,21,15,11,center_pane,2115
802,22,15,1,wall,2215
803,23,15,11,center_pane,2315
804,24,15,11,center_pane,2415
805,25,15,11,center_pane,2515
806,26,15,11,center_pane,2615
807,27,15,11,center_pane,2715
808,28,15,11,center_pane,2815
809,29,15,11,center_pane,2915
810,30,15,11,center_pane,3015
811,31,15,11,center_pane,3115
812,32,15,11,center_pane,3215
813,33,15,11,center_pane,3315
814,34,15,11,center_pane,3415
815,35,15,11,center_pane,3515
816,36,15,1,wall,3615
817,37,15,11,center_pane,3715
818,38,15,11,center_pane,3815
819,39,15,11,center_pane,3915
820,40,15,11,center_pane,4015
821,41,15,1,wall,4115
822,42,15,11,center_pane,4215
823,43,15,11,center_pane,4315
824,44,15,11,center_pane,4415
825,45,15,11,center_pane,4515
826,46,15,11,center_pane,4615
827,47,15,11,center_pane,4715
828,48,15,11,center_pane,4815
829,49,15,11,center_pane,4915
830,50,15,1,wall,5015
831,51,15,1,wall,5115
832,0,16,1,wall,016
833,1,16,1,wall,116
834,2,16,11,center_pane,216
835,3,16,11,center_pane,316
836,4,16,11,center_pane,416
837,5,16,11,center_pane,516
838,6,16,11,center_pane,616
839,7,16,1,wall,716
840,8,16,11,center_pane,816
841,9,16,11,center_pane,916
842,10,16,11,center_pane,1016
843,11,16,11,center_pane,1116
844,12,16,11,center_pane,1216
845,13,16,11,center_pane,1316
846,14,16,11,center_pane,1416
847,15,16,11,center_pane,1516
848,16,16,11,center_pane,1616
849,17,16,11,center_pane,1716
850,18,16,11,center_pane,1816
851,19,16,11,center_pane,1916
852,20,16,11,center_pane,2016
853,21,16,11,center_pane,2116
854,22,16,11,center_pane,2216
855,23,16,11,center_pane,2316
856,24,16,11,center_pane,2416
857,25,16,11,center_pane,2516
858,26,16,11,center_pane,2616
859,27,16,11,center_pane,2716
860,28,16,11,center_pane,2816
861,29,16,11,center_pane,2916
862,30,16,11,center_pane,3016
863,31,16,11,center_pane,3116
864,32,16,11,center_pane,3216
865,33,16,11,center_pane,3316
866,34,16,11,center_pane,3416
867,35,16,11,center_pane,3516
868,36,16,1,wall,3616
869,37,16,11,center_pane,3716
870,38,16,11,center_pane,3816
871,39,16,11,center_pane,3916
872,40,16,11,center_pane,4016
873,41,16,1,wall,4116
874,42,16,1,wall,4216
875,43,16,1,wall,4316
876,44,16,1,wall,4416
877,45,16,1,wall,4516
878,46,16,1,wall,4616
879,47,16,11,center_pane,4716
880,48,16,11,center_pane,4816
881,49,16,11,center_pane,4916
882,50,16,1,wall,5016
883,51,16,1,wall,5116
884,0,17,1,wall,017
885,1,17,1,wall,117
886,2,17,2,door,217
887,3,17,2,door,317
888,4,17,1,wall,417
889,5,17,2,door,517
890,6,17,2,door,617
891,7,17,1,wall,717
892,8,17,1,wall,817
893,9,17,1,wall,917
894,10,17,1,wall,1017
895,11,17,1,wall,1117
896,12,17,1,wall,1217
897,13,17,1,wall,1317
898,14,17,1,wall,1417
899,15,17,1,wall,1517
900,16,17,1,wall,1617
901,17,17,1,wall,1717
902,18,17,1,wall,1817
903,19,17,1,wall,1917
904,20,17,1,wall,2017
905,21,17,1,wall,2117
906,22,17,1,wall,2217
907,23,17,1,wall,2317
908,24,17,1,wall,2417
909,25,17,1,wall,2517
910,26,17,1,wall,2617
911,27,17,1,wall,2717
912,28,17,1,wall,2817
913,29,17,1,wall,2917
914,30,17,1,wall,3017
915,31,17,1,wall,3117
916,32,17,1,wall,3217
917,33,17,1,wall,3317
918,34,17,1,wall,3417
919,35,17,1,wall,3517
920,36,17,1,wall,3617
921,37,17,11,center_pane,3717
922,38,17,11,center_pane,3817
923,39,17,11,center_pane,3917
924,40,17,11,center_pane,4017
925,41,17,1,wall,4117
926,42,17,1,wall,4217
927,43,17,1,wall,4317
928,44,17,11,center_pane,4417
929,45,17,3,green,4517
930,46,17,11,center_pane,4617
931,47,17,11,center_pane,4717
932,48,17,11,center_pane,4817
933,49,17,11,center_pane,4917
934,50,17,1,wall,5017
935,51,17,1,wall,5117
936,0,18,1,wall,018
937,1,18,1,wall,118
938,2,18,11,center_pane,218
939,3,18,11,center_pane,318
940,4,18,11,center_pane,418
941,5,18,11,center_pane,518
942,6,18,11,center_pane,618
943,7,18,11,center_pane,718
944,8,18,11,center_pane,818
945,9,18,11,center_pane,918
